HOLEID,X,Y,Z,cu_ppm,au_ppm,ag_ppm,fe_ppm,s_ppm,total_sulphide_ppm,CuEq_ppm
7,-440.0448250001064,261.2496800031513,-113.47,4700.0,0.38,1.63,203200.0,1400.0000000000002,209300.0,4893.92
7,-445.45482500013895,252.8296800032258,-133.7,10700.0,0.85,3.86,275000.0,3700.0,289400.0,11151.74
7,-454.2648250000784,239.42968000285327,-165.49,8800.0,0.55,1.11,432500.0,7100.0,448400.0,8975.74
7,-456.034825000097,236.77968000248077,-171.68,6200.0,0.41,0.86,354700.0,3700.0,364600.0,6333.74
8,17.675174999865703,33.429680002853274,250.67,2400.0,0.1,0.37,240100.00000000003,800.0,243300.00000000003,2446.08
8,20.36517499992624,39.84968000277877,231.87,3500.0,0.14,0.61,248400.0,1100.0,253000.0,3572.24
8,23.065174999879677,46.279680002480745,213.06,2900.0,0.07,0.75,223200.0,700.0000000000001,226800.0,2973.5
8,25.455174999893643,51.9996800031513,196.43,1600.0,0.04,0.38,209400.0,400.0,211400.0,1637.92
8,28.15517499996349,58.56968000344932,177.84,2700.0,0.08,0.72,227100.0,700.0000000000001,230500.0,2772.48
8,31.675174999865703,67.01968000270426,154.58,3200.0,0.13,0.81,248100.0,900.0,252200.0,3287.54
8,35.37517499993555,75.69968000240624,131.43,5600.000000000001,0.13,1.45,269000.0,1600.0,276200.0,5741.300000000001
8,39.21517499990296,84.62968000210822,108.4,3600.0,0.08,0.97,229200.00000000003,1000.0,233800.00000000003,3693.48
8,41.9251749998657,90.92968000285327,92.49,3800.0,0.15,1.04,264200.0,1100.0,269100.0,3909.86
8,44.71517499990296,97.3296800032258,76.63,6500.0,0.74,1.84,304400.0,1900.0,312800.0,6765.56
8,48.87517499993555,106.7196800019592,53.84,8000.0,0.31,2.34,299800.0,2400.0,310200.0,8243.06
8,52.4251749998657,114.6696800030768,34.81,15000.0,0.6,4.44,332600.0,4400.0,352000.0,15462.96
8,55.0851749998983,120.59968000277875,20.63,8900.0,0.58,2.3,324400.0,2800.0000000000005,336100.0,9180.2
8,56.78517499996815,124.39968000352384,11.53,27900.0,1.1,9.32,368600.0,8100.000000000001,404600.0,28847.88
9,-514.3048250001157,594.6796800028533,254.49,11200.000000000002,0.24,0.41,98800.0,100.0,110100.0,11270.440000000002
9,-523.0048250000691,572.0196800027043,189.05,7300.0,0.3,0.43,87300.0,3400.0000000000005,98000.0,7381.12
